Date,Description,Amount (USD),Balance (USD)
2025-10-01,Grocery Store,-22.26,4977.74
2025-10-03,Salary Credit,946.42,5924.16
2025-10-07,Grocery Store,-341.58,5582.58
2025-10-10,Grocery Store,-299.34,5283.24
2025-10-05,ATM Withdrawal,-55.91,5227.33
2025-10-06,Transfer to Friend,-304.99,4922.34
2025-10-19,Salary Credit,1932.04,6854.38
2025-10-22,Transfer to Friend,-215.56,6638.82
2025-10-17,Interest Credit,1056.38,7695.2
2025-10-10,Online Purchase,-352.09,7343.11
2025-10-21,Electricity Bill,-86.18,7256.93
2025-10-23,Grocery Store,-55.45,7201.48
2025-10-13,Restaurant Payment,-425.27,6776.21
2025-11-09,Electricity Bill,-405.49,6370.72
2025-11-12,Netflix Subscription,-272.75,6097.97
2025-10-31,Grocery Store,-280.5,5817.47
2025-11-18,Interest Credit,2270.9,8088.37
2025-11-04,Interest Credit,884.58,8972.95
2025-10-19,ATM Withdrawal,-334.02,8638.93
2025-11-08,Grocery Store,-429.11,8209.82
