Date,Description,Amount
2023-01-15,Monthly Salary,4800
2023-01-20,Rent payment,1200
2023-01-22,Groceries at supermarket,320
2023-01-25,Electric bill utilities,110
2023-02-15,Monthly Salary,4800
2023-02-20,Rent payment,1200
2023-02-22,Groceries shopping,300
2023-03-15,Monthly Salary,4800
2023-03-20,Rent payment,1200
2023-03-22,Groceries expense,310
2023-04-15,Monthly Salary,4800
2023-04-20,Rent payment,1200
2023-04-22,Food groceries,290
2023-05-15,Monthly Salary,4800
2023-05-20,Rent payment,1200
2023-05-22,Groceries shopping food,305
2023-06-15,Monthly Salary,4800
2023-06-20,Rent payment,1200
2023-06-22,Groceries shopping,330
2023-06-28,Summer vacation expense,800
2023-07-15,Monthly Salary,4800
2023-07-20,Rent payment,1200
2023-07-22,Groceries shopping,340
2023-08-15,Monthly Salary,4800
2023-08-20,Rent payment,1200
2023-08-22,Groceries shopping,325
2023-09-15,Monthly Salary,4800
2023-09-20,Rent payment,1200
2023-09-22,Groceries shopping,315
2023-10-15,Monthly Salary,4800
2023-10-20,Rent payment,1200
2023-10-22,Groceries shopping,335
2023-11-15,Monthly Salary,4800
2023-11-20,Rent payment,1200
2023-11-22,Groceries shopping,345
2023-12-15,Monthly Salary,4800
2023-12-20,Rent payment,1200
2023-12-22,Groceries shopping,360
2023-12-25,Holiday shopping expense,500
2024-01-15,Monthly Salary,5000
2024-01-20,Rent payment,1200
2024-01-22,Groceries at supermarket,350
2024-01-25,Electric bill utilities,120
2024-01-28,Freelance project payment received,800
2024-02-01,Internet bill,60
2024-02-05,Stock investment,500
2024-02-10,Transport monthly pass,80
2024-02-15,Monthly Salary,5000
2024-02-18,Food delivery expense,45
2024-02-20,Rent payment,1200
2024-02-22,Groceries shopping,380
2024-02-25,Gas bill utilities,95
2024-03-01,Freelance income,1200
2024-03-05,Crypto investment,300
2024-03-10,Transport expense,85
2024-03-15,Monthly Salary,5000
2024-03-18,Restaurant bill,120
2024-03-20,Rent payment,1200
2024-03-22,Groceries expense,340
2024-03-25,Water bill utilities,50
2024-03-28,Phone bill,55
2024-04-01,Consulting revenue,2500
2024-04-05,Investment in stocks,700
2024-04-10,Transport pass,80
2024-04-15,Monthly Salary,5000
2024-04-18,Shopping,200
2024-04-20,Rent payment,1200
2024-04-22,Food groceries,360
2024-04-25,Electric utilities bill,130
2024-05-01,Gym membership,50
2024-05-05,Stock purchase investment,450
2024-05-10,Taxi expense transport,35
2024-05-15,Monthly Salary,5000
2024-05-18,Coffee shop,25
2024-05-20,Rent payment,1200
2024-05-22,Groceries shopping food,375
2024-05-25,Internet utilities,60
2024-05-28,Freelance payment received,950
