Date,Description,Amount
2024-01-15,Monthly Salary,5000
2024-01-20,Rent payment,1200
2024-01-22,Groceries at supermarket,350
2024-01-25,Electric bill utilities,120
2024-01-28,Freelance project payment received,800
2024-02-01,Internet bill,60
2024-02-05,Stock investment,500
2024-02-10,Transport monthly pass,80
2024-02-15,Monthly Salary,5000
2024-02-18,Food delivery expense,45
2024-02-20,Rent payment,1200
2024-02-22,Groceries shopping,380
2024-02-25,Gas bill utilities,95
2024-03-01,Freelance income,1200
2024-03-05,Crypto investment,300
2024-03-10,Transport expense,85
2024-03-15,Monthly Salary,5000
2024-03-18,Restaurant bill,120
2024-03-20,Rent payment,1200
2024-03-22,Groceries expense,340
2024-03-25,Water bill utilities,50
2024-03-28,Phone bill,55
2024-04-01,Consulting revenue,2500
2024-04-05,Investment in stocks,700
2024-04-10,Transport pass,80
2024-04-15,Monthly Salary,5000
2024-04-18,Shopping,200
2024-04-20,Rent payment,1200
2024-04-22,Food groceries,360
2024-04-25,Electric utilities bill,130
2024-05-01,Gym membership,50
2024-05-05,Stock purchase investment,450
2024-05-10,Taxi expense transport,35
2024-05-15,Monthly Salary,5000
2024-05-18,Coffee shop,25
2024-05-20,Rent payment,1200
2024-05-22,Groceries shopping food,375
2024-05-25,Internet utilities,60
2024-05-28,Freelance payment received,950
